id_marks,id_targets,timestamps,ranges,azimuths,elevations,dopplers,powers,type,beam_ids,encoder_radian
638,0,19989,3.56E+05,1.4963,0.027973,0,16,0,-1,1.5033
647,0,19938,1.57E+05,1.4371,0.011534,0,18,0,-1,1.5278
656,0,20031,29864,1.4904,0.01431,0,3650,0,-1,1.5585
667,0,20146,26568,1.745,0.01279,0,1.41E+05,0,-1,1.6199
679,0,20191,30601,1.7059,0.011403,0,4356,0,-1,1.6506
689,0,20191,33007,1.6546,0.019586,0,76,0,-1,1.6874
671,0,20191,28365,1.8854,0.011162,0,3.45E+05,0,-1,1.7242
706,0,20317,27127,1.8372,0.023088,0,17408,0,-1,1.7242
702,0,20241,60036,1.8107,0.071723,0,131,0,-1,1.7242
715,0,20409,27588,2.0709,0.010421,0,10145,0,-1,1.7978
718,0,20410,96375,1.7615,0.054574,0,36,0,-1,1.8101
730,0,20454,31275,2.0251,0.010592,0,2288,0,-1,1.8408
748,0,20551,28772,2.0856,0.12566,0,177,0,-1,1.9021
763,0,20638,28425,1.9438,0.010814,0,952,0,-1,1.9267
765,0,20639,26884,2.0664,0.0094013,0,2158,0,-1,1.9819
804,0,20922,99000,1.9649,0.032129,1,208,0,-1,2.0985
812,0,20970,29700,1.9937,0.013082,0,32,0,-1,2.1353
827,0,21084,46711,2.3124,0.046197,0,158,0,-1,2.2396
828,0,21125,1.16E+05,2.4613,0.025589,1,41,0,-1,2.2457
829,0,21135,29332,2.5491,0.037759,0,313,0,-1,2.2764
835,0,21135,27713,2.1512,0.047574,0,474,0,-1,2.2826
844,0,21241,53100,2.3947,0.10888,0,31,0,-1,2.2948
849,0,21198,31268,2.3535,0.020706,0,264,0,-1,2.3255
874,0,21423,47923,2.2619,0.10018,1,306,0,-1,2.4298
882,0,21422,2.14E+05,2.4289,0.037176,0,21,0,-1,2.4605
895,0,21474,45597,2.3742,0.057098,1,1099,0,-1,2.4973
899,0,21518,17339,2.7074,0.16867,0,224,0,-1,2.5035
900,0,21547,10467,2.4755,0.17044,0,316,0,-1,2.5035
885,0,21473,1.57E+05,2.5459,0.012735,2,699,0,-1,2.5035
893,0,21529,1.09E+05,2.4082,0.0649,0,9753,0,-1,2.5219
915,0,21566,59892,2.6492,0.0061305,0,27323,0,-1,2.528
920,0,21686,22793,2.5261,0.14591,0,574,0,-1,2.5832
927,0,21687,2.17E+05,2.7359,0.024386,1,33,0,-1,2.5832
934,0,21687,66150,2.7638,0.0034689,0,13567,0,-1,2.5832
944,0,21902,58095,2.9197,0.012846,0,920,0,-1,2.7366
969,0,21909,1.43E+05,2.8073,0.033442,0,44,0,-1,2.7673
991,0,22125,26700,2.7494,0.027459,0,202,0,-1,2.8839
993,0,22142,29025,2.8406,0.041609,0,135,0,-1,2.9146
994,0,22160,33645,3.1806,0.092503,0,672,0,-1,2.9207
999,0,22246,2.97E+05,2.8313,0.030329,0,18,0,-1,2.9452
1024,0,22431,49964,3.3031,0.076702,1,14948,0,-1,3.0618
1085,0,23074,10590,3.5495,0.30321,0,331,0,-1,3.4545
1180,0,23953,2.54E+05,4.3456,0.04179,2,30,0,-1,4.0436
1202,0,24190,4493.2,4.0381,0.26849,0,1997,0,-1,4.2031
1206,0,24375,10005,4.3043,0.20063,0,1.15E+05,0,-1,4.289
1226,0,24419,5482.7,4.2012,0.2704,0,857,0,-1,4.3504
1231,0,24632,10560,4.6983,0.17184,0,4.30E+05,0,-1,4.4792
1242,0,24632,1797.9,4.2842,0.3062,0,1.54E+06,0,-1,4.4792
1243,0,24632,10836,4.672,0.16801,0,5.62E+06,0,-1,4.4792
1258,0,24685,27059,4.7415,0.12062,1,139,0,-1,4.5467
1267,0,24738,11289,4.7851,0.16125,0,1.65E+06,0,-1,4.5529
1283,0,24939,30582,4.5072,0.027729,0,118,0,-1,4.6204
1286,0,24938,19131,4.6696,0.23052,0,79,0,-1,4.6633
1296,0,25120,52125,4.7144,0.021374,0,10055,0,-1,4.7737
1295,0,25118,53021,4.9922,0.020407,0,27430,0,-1,4.786
1313,0,25175,30900,4.8342,0.029619,0,79,0,-1,4.786
1307,0,25173,15074,5.0627,0.16894,0,1231,0,-1,4.8228
1308,0,25173,5089.5,4.694,0.31726,0,427,0,-1,4.8228
1282,0,25074,26711,4.6642,0.028811,0,354,0,-1,4.8228
1301,0,25174,35725,4.6836,0.014554,0,23671,0,-1,4.8228
1302,0,25174,35850,4.6786,0.019883,0,23563,0,-1,4.8228
1274,0,25030,28779,4.9508,0.072858,0,62708,0,-1,4.8228
1279,0,24941,28541,4.7809,0.029509,0,5079,0,-1,4.8228
1318,0,25218,30150,4.9237,0.10673,1,13,0,-1,4.829
1334,0,25509,15387,4.8934,0.16418,0,27653,0,-1,5.013
1371,0,25789,33231,5.4118,0.10501,0,5701,0,-1,5.1542
1387,0,25897,2.65E+05,5.3896,0.025028,0,21,0,-1,5.2646
1410,0,26116,47068,5.3872,0.025457,0,828,0,-1,5.3935
1401,0,26072,1.07E+05,5.4544,0.039169,0,22,0,-1,5.3996
1428,0,26213,54104,5.4922,0.024357,0,1363,0,-1,5.4794
1430,0,26292,1.12E+05,5.3597,0.025487,0,846,0,-1,5.4978
1433,0,26334,29054,5.4557,0.11527,1,76,0,-1,5.5101
1437,0,26291,68380,5.3816,0.025425,0,4643,0,-1,5.5162
1435,0,26336,3.47E+05,5.4304,0.033448,1,17,0,-1,5.5285
1448,0,26387,1.34E+05,5.5113,0.02719,0,1021,0,-1,5.5653
1455,0,26381,91125,5.6104,0.027249,0,129,0,-1,5.596
1468,0,26602,28642,5.54,0.045371,0,56,0,-1,5.731
1492,0,26767,13262,6.0943,0.24507,0,1227,0,-1,5.8353
1509,0,26983,27063,6.2263,0.045821,0,442,0,-1,5.915
1515,0,27026,1.96E+05,6.0285,0.042314,3,151,0,-1,5.9641
1524,0,27060,1.27E+05,6.0593,0.055783,0,74,0,-1,5.9887
1548,0,27219,2.12E+05,6.0865,0.030339,0,72,0,-1,6.1052
1551,0,27277,70315,6.4045,0.012463,1,5449,0,-1,6.1421
1554,0,27277,81000,6.1423,0.039134,1,31,0,-1,6.1421
1560,0,27414,53477,6.0814,0.00974,0,1.63E+06,0,-1,6.2218
1564,0,27459,65915,6.4485,0.0089787,0,55607,0,-1,6.2464
1582,0,27459,55275,6.2551,0.0073881,0,4.47E+05,0,-1,6.2525
1583,0,27459,63675,6.1814,0.0095537,0,7799,0,-1,6.2525
1596,0,27501,56072,6.2973,0.0081896,0,55239,0,-1,6.2709
1601,0,27594,56310,6.1767,0.0066106,0,1559,0,-1,0.012272
1602,0,27594,75383,6.1967,0.010468,0,8292,0,-1,0.024544
1603,0,27550,30399,6.5849,0.015302,0,62,0,-1,0.024544
1606,0,27595,1.04E+05,6.6258,0.013938,0,150,0,-1,0.055223
1608,0,27639,51115,6.4534,0.014206,0,1367,0,-1,0.055223
1612,0,27639,29289,6.1994,0.024944,0,99,0,-1,0.073631
1633,0,27866,30292,0.14054,0.0075787,0,186,0,-1,0.19021
1655,0,27950,58274,0.27221,0.015761,0,3.76E+07,0,-1,0.3068
1674,0,28094,52800,0.58742,0.020755,0,3.04E+06,0,-1,0.34975
1669,0,28093,54523,0.17612,0.019983,0,7.55E+06,0,-1,0.36816
1675,0,28138,54815,0.22098,0.020471,0,4.24E+06,0,-1,0.40497
1698,0,28225,51343,0.33235,0.01735,0,1.83E+05,0,-1,0.43565
1686,0,28182,2.39E+05,0.56789,0.057247,0,8,0,-1,0.43565
1682,0,28231,45975,0.63802,0.0082467,0,2.13E+06,0,-1,0.44792
1680,0,28322,34535,0.57267,0.02208,0,703,0,-1,0.48474
1709,0,28372,50437,0.56831,0.0098592,0,1.34E+07,0,-1,0.50928
1714,0,28322,30082,0.59865,0.016773,0,44,0,-1,0.51542
1718,0,28372,42975,0.4924,0.010606,0,15572,0,-1,0.51542
1729,0,28397,46383,0.74941,0.0070744,0,1.04E+06,0,-1,0.55223
